"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Тест создания файла через API.","22","Create file","LMS service","Wed Aug 27 21:37:12 GMT 2025","passed","Wed Aug 27 21:37:12 GMT 2025","Create entity","Files","",""
"
        Тест получения задания через GET-запрос к /api/v1/exercises/{exercise_id}.

        Проверяет:
        - Успешное получение задания по ID
        - Соответствие статус-кода 200
        - Соответствие данных ответа созданному заданию
        - Валидацию JSON schema ответа
        ","288","Get exercise","LMS service","Wed Aug 27 21:37:11 GMT 2025","passed","Wed Aug 27 21:37:11 GMT 2025","Get entity","Exercises","",""
"Негативный тест: получение файла с некорректным file_id.","19","Get file with incorrect file id","LMS service","Wed Aug 27 21:37:15 GMT 2025","passed","Wed Aug 27 21:37:15 GMT 2025","Validate entity","Files","",""
"
        Тест проверяет авторизацию пользователя через эндпоинт /api/v1/auth/login.
        
        Проверяет:
        - Статус-код (200 OK)
        - Корректность данных авторизации
        - Валидацию JSON-схемы ответа
        ","556","Login with correct email and password","LMS service","Wed Aug 27 21:37:07 GMT 2025","passed","Wed Aug 27 21:37:07 GMT 2025","Login","Authentication","",""
"
        Тест получения списка заданий через GET-запрос к /api/v1/exercises.

        Проверяет:
        - Статус-код ответа 200
        - Соответствие тела ответа списку созданных заданий
        - Валидацию JSON schema ответа
        ","285","Get exercises","LMS service","Wed Aug 27 21:37:12 GMT 2025","passed","Wed Aug 27 21:37:12 GMT 2025","Get entities","Exercises","",""
"Тест удаления файла через API.","23","Delete file","LMS service","Wed Aug 27 21:37:16 GMT 2025","passed","Wed Aug 27 21:37:16 GMT 2025","Delete entity","Files","",""
"
        Тест проверяет создание нового пользователя через эндпоинт /api/v1/users.

        Проверяет:
        - Статус-код ответа (200)
        - Корректность тела ответа
        - Валидацию JSON schema ответа
        ","521","Create user","LMS service","Wed Aug 27 21:37:15 GMT 2025","passed","Wed Aug 27 21:37:16 GMT 2025","Create entity","Users","",""
"Негативный тест: создание файла с пустым значением директории.","263","Create file with empty directory","LMS service","Wed Aug 27 21:37:14 GMT 2025","passed","Wed Aug 27 21:37:15 GMT 2025","Validate entity","Files","",""
"Тест получения файла по ID через API.","16","Get file","LMS service","Wed Aug 27 21:37:13 GMT 2025","passed","Wed Aug 27 21:37:13 GMT 2025","Get entity","Files","",""
"Негативный тест: создание файла с пустым именем.","19","Create file with empty filename","LMS service","Wed Aug 27 21:37:13 GMT 2025","passed","Wed Aug 27 21:37:13 GMT 2025","Validate entity","Files","",""
"
        Тест для получения списка курсов пользователя по user_id.

        Проверяет:
        - Успешный возврат списка курсов через GET-запрос к /api/v1/courses
        - Соответствие статус-кода 200
        - Наличие ранее созданного курса в ответе
        - Валидацию JSON-схемы ответа
        ","27","Get courses","LMS service","Wed Aug 27 21:37:08 GMT 2025","passed","Wed Aug 27 21:37:08 GMT 2025","Get entities","Courses","",""
"
        Тест создания задания через POST-запрос к /api/v1/exercises.

        Проверяет:
        - Статус-код ответа 200
        - Соответствие тела ответа запросу
        - Валидацию JSON schema ответа
        ","291","Create exercise","LMS service","Wed Aug 27 21:37:10 GMT 2025","passed","Wed Aug 27 21:37:10 GMT 2025","Create entity","Exercises","",""
"
        Тест для проверки обновления курса через API.

        Проверяет:
        - Успешное обновление курса через PATCH-запрос к /api/v1/courses/{course_id}
        - Соответствие статус-кода 200
        - Соответствие данных в ответе переданным данным запроса
        - Валидацию JSON-схемы ответа
        ","302","Update course","LMS service","Wed Aug 27 21:37:07 GMT 2025","passed","Wed Aug 27 21:37:08 GMT 2025","Update entity","Courses","",""
"
        Тест обновления задания через PATCH-запрос к /api/v1/exercises/{exercise_id}.

        Проверяет:
        - Успешное обновление задания по ID
        - Соответствие статус-кода 200
        - Соответствие данных ответа запросу на обновление
        - Валидацию JSON schema ответа
        ","21","Update exercise","LMS service","Wed Aug 27 21:37:10 GMT 2025","passed","Wed Aug 27 21:37:10 GMT 2025","Update entity","Exercises","",""
"
        Тест удаления задания через DELETE-запрос к /api/v1/exercises/{exercise_id}.

        Проверяет:
        - Статус-код 200 после удаления.
        - Статус-код 404 и соответствующее сообщение об ошибке после попытки получения удаленного задания.
        - Валидацию JSON schema ответа на GET-запрос после удаления.
        ","18","Delete exercise","LMS service","Wed Aug 27 21:37:11 GMT 2025","passed","Wed Aug 27 21:37:11 GMT 2025","Delete entity","Exercises","",""
"
        Тест проверяет создание нового пользователя через эндпоинт /api/v1/users.

        Проверяет:
        - Статус-код ответа (200)
        - Корректность тела ответа
        - Валидацию JSON schema ответа
        ","546","Create user","LMS service","Wed Aug 27 21:37:16 GMT 2025","passed","Wed Aug 27 21:37:16 GMT 2025","Create entity","Users","",""
"
        Тест для проверки создания курса через API.
        
        Проверяет:
        - Успешное создание курса через POST-запрос к /api/v1/courses
        - Соответствие статус-кода 200
        - Соответствие данных ответа данным запроса
        - Валидацию JSON-схемы ответа

        :param courses_client: Клиент для работы с API курсов
        :param function_file: Фикстура файла для preview_file_id
        :param function_user: Фикстура пользователя для created_by_user_id
        ","31","Create course","LMS service","Wed Aug 27 21:37:09 GMT 2025","passed","Wed Aug 27 21:37:09 GMT 2025","Create entity","Courses","",""
"
        Тест проверяет создание нового пользователя через эндпоинт /api/v1/users.

        Проверяет:
        - Статус-код ответа (200)
        - Корректность тела ответа
        - Валидацию JSON schema ответа
        ","537","Create user","LMS service","Wed Aug 27 21:37:15 GMT 2025","passed","Wed Aug 27 21:37:15 GMT 2025","Create entity","Users","",""
"
        Тест проверяет получение данных текущего пользователя через эндпоинт /api/v1/users/me.

        Проверяет:
        - Статус-код ответа (200)
        - Корректность тела ответа
        - Валидацию JSON schema ответа
        ","13","Get user me","LMS service","Wed Aug 27 21:37:17 GMT 2025","passed","Wed Aug 27 21:37:17 GMT 2025","Get entity","Users","",""
