"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
    Тест проверяет авторизацию пользователя.
    ","2288","test_login","tests.authentication","Tue Jun 17 19:32:59 MSK 2025","passed","Tue Jun 17 19:33:01 MSK 2025","","test_authentication","",""
"
    Тест проверяет получение данных текущего пользователя через эндпоинт /api/v1/users/me.
    
    Проверяет:
    - Статус-код ответа (200)
    - Корректность тела ответа
    - Валидацию JSON schema ответа
    ","2064","test_get_user_me","tests.users","Tue Jun 17 19:34:57 MSK 2025","passed","Tue Jun 17 19:34:59 MSK 2025","","test_users","",""
"","28","test_get_courses","tests.courses","Tue Jun 17 19:33:09 MSK 2025","passed","Tue Jun 17 19:33:09 MSK 2025","TestCourses","test_courses","",""
"Негативный тест: создание файла с пустым значением директории.","2031","test_create_file_with_empty_directory","tests.files","Tue Jun 17 19:34:31 MSK 2025","passed","Tue Jun 17 19:34:33 MSK 2025","TestFiles","test_files","",""
"
        Тест для проверки создания курса через API.
        
        Проверяет:
        - Успешное создание курса через POST-запрос к /api/v1/courses
        - Соответствие статус-кода 200
        - Соответствие данных ответа данным запроса
        - Валидацию JSON-схемы ответа
        
        :param courses_client: Клиент для работы с API курсов
        :param function_file: Фикстура файла для preview_file_id
        :param function_user: Фикстура пользователя для created_by_user_id
        ","40","test_create_course","tests.courses","Tue Jun 17 19:33:25 MSK 2025","passed","Tue Jun 17 19:33:25 MSK 2025","TestCourses","test_courses","",""
"Тест удаления файла через API.","53","test_delete_file","tests.files","Tue Jun 17 19:34:49 MSK 2025","passed","Tue Jun 17 19:34:49 MSK 2025","TestFiles","test_files","",""
"
    Тест проверяет создание нового пользователя через эндпоинт /api/v1/users.
    
    Проверяет:
    - Статус-код ответа (200)
    - Корректность тела ответа
    - Валидацию JSON schema ответа
    ","2293","test_create_user","tests.users","Tue Jun 17 19:34:49 MSK 2025","passed","Tue Jun 17 19:34:51 MSK 2025","","test_users","",""
"
        Тест создания задания через POST-запрос к /api/v1/exercises.

        Проверяет:
        - Статус-код ответа 200
        - Соответствие тела ответа запросу
        - Валидацию JSON schema ответа

        :param exercises_client: Клиент для работы с API заданий
        :param function_course: Фикстура курса для связи с заданием
        ","32","test_create_exercise","tests.exercises","Tue Jun 17 19:33:32 MSK 2025","passed","Tue Jun 17 19:33:32 MSK 2025","TestExercises","test_exercises","",""
"
        Тест получения списка заданий через GET-запрос к /api/v1/exercises.

        Проверяет:
        - Статус-код ответа 200
        - Соответствие тела ответа списку созданных заданий
        - Валидацию JSON schema ответа

        :param exercises_client: Клиент для работы с API заданий
        :param function_exercise: Фикстура созданного задания
        :param function_course: Фикстура курса для фильтрации заданий
        ","19","test_get_exercises","tests.exercises","Tue Jun 17 19:34:03 MSK 2025","passed","Tue Jun 17 19:34:03 MSK 2025","TestExercises","test_exercises","",""
"Тест создания файла через API.","2057","test_create_file","tests.files","Tue Jun 17 19:34:09 MSK 2025","passed","Tue Jun 17 19:34:11 MSK 2025","TestFiles","test_files","",""
"Тест получения файла по ID через API.","17","test_get_file","tests.files","Tue Jun 17 19:34:18 MSK 2025","passed","Tue Jun 17 19:34:18 MSK 2025","TestFiles","test_files","",""
"
        Тест получения задания через GET-запрос к /api/v1/exercises/{exercise_id}.

        Проверяет:
        - Успешное получение задания по ID
        - Соответствие статус-кода 200
        - Соответствие данных ответа созданному заданию
        - Валидацию JSON schema ответа

        :param exercises_client: Клиент для работы с API заданий
        :param function_exercise: Фикстура созданного задания
        ","22","test_get_exercise","tests.exercises","Tue Jun 17 19:33:40 MSK 2025","passed","Tue Jun 17 19:33:40 MSK 2025","TestExercises","test_exercises","",""
"
        Тест удаления задания через DELETE-запрос к /api/v1/exercises/{exercise_id}.

        Проверяет:
        - Статус-код 200 после удаления.
        - Статус-код 404 и соответствующее сообщение об ошибке после попытки получения удаленного задания.
        - Валидацию JSON schema ответа на GET-запрос после удаления.

        :param exercises_client: Клиент для работы с API заданий.
        :param function_exercise: Фикстура созданного задания для удаления.
        ","38","test_delete_exercise","tests.exercises","Tue Jun 17 19:33:55 MSK 2025","passed","Tue Jun 17 19:33:55 MSK 2025","TestExercises","test_exercises","",""
"Негативный тест: создание файла с пустым именем.","2067","test_create_file_with_empty_filename","tests.files","Tue Jun 17 19:34:24 MSK 2025","passed","Tue Jun 17 19:34:26 MSK 2025","TestFiles","test_files","",""
"","40","test_update_course","tests.courses","Tue Jun 17 19:33:17 MSK 2025","passed","Tue Jun 17 19:33:17 MSK 2025","TestCourses","test_courses","",""
"
        Тест обновления задания через PATCH-запрос к /api/v1/exercises/{exercise_id}.

        Проверяет:
        - Успешное обновление задания по ID
        - Соответствие статус-кода 200
        - Соответствие данных ответа запросу на обновление
        - Валидацию JSON schema ответа

        :param exercises_client: Клиент для работы с API заданий
        :param function_exercise: Фикстура созданного задания для обновления
        ","28","test_update_exercise","tests.exercises","Tue Jun 17 19:33:48 MSK 2025","passed","Tue Jun 17 19:33:48 MSK 2025","TestExercises","test_exercises","",""
"Негативный тест: получение файла с некорректным file_id.","2067","test_get_file_with_incorrect_file_id","tests.files","Tue Jun 17 19:34:39 MSK 2025","passed","Tue Jun 17 19:34:41 MSK 2025","TestFiles","test_files","",""
